text
"In 2008, Africa consumed 1180.73 TWh of coal."
"In 2009, Africa consumed 1176.00 TWh of coal."
"In 2010, Africa consumed 1167.17 TWh of coal."
"In 2011, Africa consumed 1149.03 TWh of coal."
"In 2012, Africa consumed 1120.19 TWh of coal."
"In 2013, Africa consumed 1132.15 TWh of coal."
"In 2014, Africa consumed 1185.71 TWh of coal."
"In 2015, Africa consumed 1123.27 TWh of coal."
"In 2016, Africa consumed 1191.60 TWh of coal."
"In 2017, Africa consumed 1192.76 TWh of coal."
"In 2018, Africa consumed 1170.13 TWh of coal."
"In 2019, Africa consumed 1236.28 TWh of coal."
"In 2020, Africa consumed 1195.17 TWh of coal."
"In 2021, Africa consumed 1197.93 TWh of coal."
"In 2022, Africa consumed 1144.87 TWh of coal."
"In 2023, Africa consumed 1133.99 TWh of coal."
"In 1965, Africa (EI) consumed 323.50 TWh of coal."
"In 1966, Africa (EI) consumed 323.12 TWh of coal."
"In 1967, Africa (EI) consumed 330.29 TWh of coal."
"In 1968, Africa (EI) consumed 343.51 TWh of coal."
"In 1969, Africa (EI) consumed 346.64 TWh of coal."
"In 1970, Africa (EI) consumed 360.76 TWh of coal."
"In 1971, Africa (EI) consumed 383.01 TWh of coal."
"In 1972, Africa (EI) consumed 384.21 TWh of coal."
"In 1973, Africa (EI) consumed 408.91 TWh of coal."
"In 1974, Africa (EI) consumed 425.65 TWh of coal."
"In 1975, Africa (EI) consumed 451.08 TWh of coal."
"In 1976, Africa (EI) consumed 481.07 TWh of coal."
"In 1977, Africa (EI) consumed 491.70 TWh of coal."
"In 1978, Africa (EI) consumed 477.82 TWh of coal."
"In 1979, Africa (EI) consumed 507.25 TWh of coal."
"In 1980, Africa (EI) consumed 543.56 TWh of coal."
"In 1981, Africa (EI) consumed 635.80 TWh of coal."
"In 1982, Africa (EI) consumed 701.18 TWh of coal."
"In 1983, Africa (EI) consumed 713.25 TWh of coal."
"In 1984, Africa (EI) consumed 762.90 TWh of coal."
"In 1985, Africa (EI) consumed 787.17 TWh of coal."
"In 1986, Africa (EI) consumed 805.36 TWh of coal."
"In 1987, Africa (EI) consumed 828.32 TWh of coal."
"In 1988, Africa (EI) consumed 890.16 TWh of coal."
"In 1989, Africa (EI) consumed 835.62 TWh of coal."
"In 1990, Africa (EI) consumed 877.68 TWh of coal."
"In 1991, Africa (EI) consumed 853.76 TWh of coal."
"In 1992, Africa (EI) consumed 858.83 TWh of coal."
"In 1993, Africa (EI) consumed 871.71 TWh of coal."
"In 1994, Africa (EI) consumed 894.45 TWh of coal."
"In 1995, Africa (EI) consumed 922.47 TWh of coal."
"In 1996, Africa (EI) consumed 935.23 TWh of coal."
"In 1997, Africa (EI) consumed 959.02 TWh of coal."
"In 1998, Africa (EI) consumed 937.04 TWh of coal."
"In 1999, Africa (EI) consumed 966.01 TWh of coal."
"In 2000, Africa (EI) consumed 963.73 TWh of coal."
"In 2001, Africa (EI) consumed 975.93 TWh of coal."
"In 2002, Africa (EI) consumed 934.42 TWh of coal."
"In 2003, Africa (EI) consumed 1017.05 TWh of coal."
"In 2004, Africa (EI) consumed 1119.16 TWh of coal."
"In 2005, Africa (EI) consumed 1039.07 TWh of coal."
"In 2006, Africa (EI) consumed 1054.10 TWh of coal."
"In 2007, Africa (EI) consumed 1071.63 TWh of coal."
"In 2008, Africa (EI) consumed 1180.73 TWh of coal."
"In 2009, Africa (EI) consumed 1176.00 TWh of coal."
"In 2010, Africa (EI) consumed 1167.17 TWh of coal."
"In 2011, Africa (EI) consumed 1149.03 TWh of coal."
"In 2012, Africa (EI) consumed 1120.19 TWh of coal."
"In 2013, Africa (EI) consumed 1132.15 TWh of coal."
"In 2014, Africa (EI) consumed 1185.71 TWh of coal."
"In 2015, Africa (EI) consumed 1123.27 TWh of coal."
"In 2016, Africa (EI) consumed 1191.60 TWh of coal."
"In 2017, Africa (EI) consumed 1192.76 TWh of coal."
"In 2018, Africa (EI) consumed 1170.13 TWh of coal."
"In 2019, Africa (EI) consumed 1236.28 TWh of coal."
"In 2020, Africa (EI) consumed 1195.17 TWh of coal."
"In 2021, Africa (EI) consumed 1197.93 TWh of coal."
"In 2022, Africa (EI) consumed 1144.87 TWh of coal."
"In 2023, Africa (EI) consumed 1133.99 TWh of coal."
"In 1965, Algeria consumed 0.81 TWh of coal."
"In 1966, Algeria consumed 0.79 TWh of coal."
"In 1967, Algeria consumed 0.60 TWh of coal."
"In 1968, Algeria consumed 0.64 TWh of coal."
"In 1969, Algeria consumed 0.81 TWh of coal."
"In 1970, Algeria consumed 0.97 TWh of coal."
"In 1971, Algeria consumed 0.27 TWh of coal."
"In 1972, Algeria consumed 0.23 TWh of coal."
"In 1973, Algeria consumed 0.27 TWh of coal."
"In 1974, Algeria consumed 0.22 TWh of coal."
"In 1975, Algeria consumed 0.28 TWh of coal."
"In 1976, Algeria consumed 0.55 TWh of coal."
"In 1977, Algeria consumed 0.71 TWh of coal."
"In 1978, Algeria consumed 0.36 TWh of coal."
"In 1979, Algeria consumed 0.84 TWh of coal."
"In 1980, Algeria consumed 0.74 TWh of coal."
"In 1981, Algeria consumed 0.52 TWh of coal."
"In 1982, Algeria consumed 9.71 TWh of coal."
"In 1983, Algeria consumed 8.66 TWh of coal."
"In 1984, Algeria consumed 9.61 TWh of coal."
"In 1985, Algeria consumed 10.03 TWh of coal."
"In 1986, Algeria consumed 10.29 TWh of coal."
"In 1987, Algeria consumed 12.30 TWh of coal."
"In 1988, Algeria consumed 11.57 TWh of coal."
"In 1989, Algeria consumed 9.78 TWh of coal."
"In 1990, Algeria consumed 7.66 TWh of coal."
"In 1991, Algeria consumed 7.91 TWh of coal."
"In 1992, Algeria consumed 9.40 TWh of coal."
"In 1993, Algeria consumed 7.65 TWh of coal."
"In 1994, Algeria consumed 7.21 TWh of coal."
"In 1995, Algeria consumed 7.21 TWh of coal."
"In 1996, Algeria consumed 3.40 TWh of coal."
"In 1997, Algeria consumed 5.95 TWh of coal."
"In 1998, Algeria consumed 6.37 TWh of coal."
"In 1999, Algeria consumed 6.83 TWh of coal."
"In 2000, Algeria consumed 5.64 TWh of coal."
"In 2001, Algeria consumed 6.51 TWh of coal."
"In 2002, Algeria consumed 8.55 TWh of coal."
"In 2003, Algeria consumed 7.05 TWh of coal."
"In 2004, Algeria consumed 8.41 TWh of coal."
"In 2005, Algeria consumed 6.91 TWh of coal."
"In 2006, Algeria consumed 10.26 TWh of coal."
"In 2007, Algeria consumed 8.80 TWh of coal."
"In 2008, Algeria consumed 8.80 TWh of coal."
"In 2009, Algeria consumed 5.65 TWh of coal."
"In 2010, Algeria consumed 3.61 TWh of coal."
"In 2011, Algeria consumed 3.20 TWh of coal."
"In 2012, Algeria consumed 3.40 TWh of coal."
"In 2013, Algeria consumed 1.84 TWh of coal."
"In 2014, Algeria consumed 2.08 TWh of coal."
"In 2015, Algeria consumed 1.55 TWh of coal."
"In 2016, Algeria consumed 0.57 TWh of coal."
"In 2017, Algeria consumed 2.12 TWh of coal."
"In 2018, Algeria consumed 5.82 TWh of coal."
"In 2019, Algeria consumed 4.80 TWh of coal."
"In 2020, Algeria consumed 1.52 TWh of coal."
"In 2021, Algeria consumed 3.11 TWh of coal."
"In 2022, Algeria consumed 2.17 TWh of coal."
"In 2023, Algeria consumed 1.93 TWh of coal."
"In 1965, Argentina consumed 8.46 TWh of coal."
"In 1966, Argentina consumed 6.97 TWh of coal."
"In 1967, Argentina consumed 7.84 TWh of coal."
"In 1968, Argentina consumed 7.62 TWh of coal."
"In 1969, Argentina consumed 9.12 TWh of coal."
"In 1970, Argentina consumed 11.72 TWh of coal."
"In 1971, Argentina consumed 10.28 TWh of coal."
"In 1972, Argentina consumed 8.65 TWh of coal."
"In 1973, Argentina consumed 9.50 TWh of coal."
"In 1974, Argentina consumed 11.83 TWh of coal."
"In 1975, Argentina consumed 11.51 TWh of coal."
"In 1976, Argentina consumed 11.64 TWh of coal."
"In 1977, Argentina consumed 11.01 TWh of coal."
"In 1978, Argentina consumed 13.42 TWh of coal."
"In 1979, Argentina consumed 12.50 TWh of coal."
"In 1980, Argentina consumed 11.14 TWh of coal."
"In 1981, Argentina consumed 10.56 TWh of coal."
"In 1982, Argentina consumed 10.67 TWh of coal."
"In 1983, Argentina consumed 9.68 TWh of coal."
"In 1984, Argentina consumed 7.19 TWh of coal."
"In 1985, Argentina consumed 10.60 TWh of coal."
"In 1986, Argentina consumed 12.11 TWh of coal."
"In 1987, Argentina consumed 13.44 TWh of coal."
"In 1988, Argentina consumed 13.77 TWh of coal."
"In 1989, Argentina consumed 14.90 TWh of coal."
"In 1990, Argentina consumed 12.27 TWh of coal."
"In 1991, Argentina consumed 10.79 TWh of coal."
"In 1992, Argentina consumed 12.17 TWh of coal."
"In 1993, Argentina consumed 8.07 TWh of coal."
"In 1994, Argentina consumed 7.07 TWh of coal."
"In 1995, Argentina consumed 7.41 TWh of coal."
"In 1996, Argentina consumed 7.77 TWh of coal."
"In 1997, Argentina consumed 6.13 TWh of coal."
"In 1998, Argentina consumed 8.24 TWh of coal."
"In 1999, Argentina consumed 9.89 TWh of coal."
"In 2000, Argentina consumed 7.51 TWh of coal."
"In 2001, Argentina consumed 6.16 TWh of coal."
"In 2002, Argentina consumed 4.59 TWh of coal."
"In 2003, Argentina consumed 5.59 TWh of coal."
"In 2004, Argentina consumed 9.52 TWh of coal."
"In 2005, Argentina consumed 10.96 TWh of coal."
"In 2006, Argentina consumed 9.92 TWh of coal."
"In 2007, Argentina consumed 14.36 TWh of coal."
"In 2008, Argentina consumed 17.52 TWh of coal."
"In 2009, Argentina consumed 9.62 TWh of coal."
"In 2010, Argentina consumed 13.47 TWh of coal."
"In 2011, Argentina consumed 14.62 TWh of coal."
"In 2012, Argentina consumed 13.67 TWh of coal."
"In 2013, Argentina consumed 14.94 TWh of coal."
"In 2014, Argentina consumed 15.89 TWh of coal."
"In 2015, Argentina consumed 15.81 TWh of coal."
"In 2016, Argentina consumed 12.19 TWh of coal."
"In 2017, Argentina consumed 12.53 TWh of coal."
"In 2018, Argentina consumed 13.71 TWh of coal."
"In 2019, Argentina consumed 8.12 TWh of coal."
"In 2020, Argentina consumed 10.02 TWh of coal."
"In 2021, Argentina consumed 14.05 TWh of coal."
"In 2022, Argentina consumed 14.89 TWh of coal."
"In 2023, Argentina consumed 12.79 TWh of coal."
"In 1965, Asia consumed 2604.78 TWh of coal."
"In 1966, Asia consumed 2753.78 TWh of coal."
"In 1967, Asia consumed 2667.21 TWh of coal."
"In 1968, Asia consumed 2708.17 TWh of coal."
"In 1969, Asia consumed 3056.83 TWh of coal."
"In 1970, Asia consumed 3440.95 TWh of coal."
"In 1971, Asia consumed 3697.76 TWh of coal."
"In 1972, Asia consumed 3842.57 TWh of coal."
"In 1973, Asia consumed 3932.51 TWh of coal."
"In 1974, Asia consumed 4027.64 TWh of coal."
"In 1975, Asia consumed 4352.36 TWh of coal."
"In 1976, Asia consumed 4454.00 TWh of coal."
"In 1977, Asia consumed 4754.67 TWh of coal."
"In 1978, Asia consumed 4987.23 TWh of coal."
"In 1979, Asia consumed 5233.94 TWh of coal."
"In 1980, Asia consumed 5541.42 TWh of coal."
"In 1981, Asia consumed 5723.56 TWh of coal."
"In 1982, Asia consumed 5951.46 TWh of coal."
"In 1983, Asia consumed 6326.97 TWh of coal."
"In 1984, Asia consumed 6892.81 TWh of coal."
"In 1985, Asia consumed 7993.00 TWh of coal."
"In 1986, Asia consumed 8322.27 TWh of coal."
"In 1987, Asia consumed 8908.04 TWh of coal."
"In 1988, Asia consumed 9504.19 TWh of coal."
"In 1989, Asia consumed 9890.94 TWh of coal."
"In 1990, Asia consumed 10069.82 TWh of coal."
"In 1991, Asia consumed 10463.95 TWh of coal."
"In 1992, Asia consumed 10792.99 TWh of coal."
"In 1993, Asia consumed 11289.66 TWh of coal."
"In 1994, Asia consumed 11828.35 TWh of coal."
"In 1995, Asia consumed 12008.84 TWh of coal."
"In 1996, Asia consumed 12512.81 TWh of coal."
"In 1997, Asia consumed 12531.09 TWh of coal."
"In 1998, Asia consumed 12510.56 TWh of coal."
"In 1999, Asia consumed 12818.99 TWh of coal."
"In 2000, Asia consumed 13324.22 TWh of coal."
"In 2001, Asia consumed 13950.60 TWh of coal."
"In 2002, Asia consumed 15029.38 TWh of coal."
"In 2003, Asia consumed 17203.28 TWh of coal."
"In 2004, Asia consumed 19355.11 TWh of coal."
"In 2005, Asia consumed 22006.00 TWh of coal."
"In 2006, Asia consumed 23724.08 TWh of coal."
"In 2007, Asia consumed 25780.48 TWh of coal."
"In 2008, Asia consumed 26500.35 TWh of coal."
"In 2009, Asia consumed 27391.23 TWh of coal."
"In 2010, Asia consumed 28681.96 TWh of coal."
"In 2011, Asia consumed 30784.86 TWh of coal."
"In 2012, Asia consumed 31491.20 TWh of coal."
"In 2013, Asia consumed 32123.35 TWh of coal."
"In 2014, Asia consumed 32624.03 TWh of coal."
"In 2015, Asia consumed 32263.89 TWh of coal."
"In 2016, Asia consumed 31856.43 TWh of coal."
"In 2017, Asia consumed 32606.37 TWh of coal."
"In 2018, Asia consumed 33595.40 TWh of coal."
"In 2019, Asia consumed 34408.50 TWh of coal."
"In 2020, Asia consumed 34387.05 TWh of coal."
"In 2021, Asia consumed 36045.86 TWh of coal."
"In 2022, Asia consumed 36652.58 TWh of coal."
"In 2023, Asia consumed 38273.82 TWh of coal."
"In 1965, Asia Pacific (EI) consumed 2780.73 TWh of coal."
"In 1966, Asia Pacific (EI) consumed 2931.51 TWh of coal."
"In 1967, Asia Pacific (EI) consumed 2854.30 TWh of coal."
"In 1968, Asia Pacific (EI) consumed 2896.73 TWh of coal."
"In 1969, Asia Pacific (EI) consumed 3250.19 TWh of coal."
"In 1970, Asia Pacific (EI) consumed 3631.14 TWh of coal."
"In 1971, Asia Pacific (EI) consumed 3886.67 TWh of coal."
"In 1972, Asia Pacific (EI) consumed 4036.59 TWh of coal."
"In 1973, Asia Pacific (EI) consumed 4134.18 TWh of coal."
"In 1974, Asia Pacific (EI) consumed 4234.74 TWh of coal."
"In 1975, Asia Pacific (EI) consumed 4557.45 TWh of coal."
"In 1976, Asia Pacific (EI) consumed 4665.68 TWh of coal."
"In 1977, Asia Pacific (EI) consumed 4975.58 TWh of coal."
"In 1978, Asia Pacific (EI) consumed 5219.30 TWh of coal."
"In 1979, Asia Pacific (EI) consumed 5472.16 TWh of coal."
"In 1980, Asia Pacific (EI) consumed 5784.01 TWh of coal."
"In 1981, Asia Pacific (EI) consumed 5975.04 TWh of coal."
"In 1982, Asia Pacific (EI) consumed 6185.46 TWh of coal."
"In 1983, Asia Pacific (EI) consumed 6548.08 TWh of coal."
"In 1984, Asia Pacific (EI) consumed 7115.33 TWh of coal."
"In 1985, Asia Pacific (EI) consumed 7676.93 TWh of coal."
"In 1986, Asia Pacific (EI) consumed 7972.33 TWh of coal."
"In 1987, Asia Pacific (EI) consumed 8546.45 TWh of coal."
"In 1988, Asia Pacific (EI) consumed 9157.78 TWh of coal."
"In 1989, Asia Pacific (EI) consumed 9570.25 TWh of coal."
"In 1990, Asia Pacific (EI) consumed 9777.63 TWh of coal."
"In 1991, Asia Pacific (EI) consumed 10180.25 TWh of coal."
"In 1992, Asia Pacific (EI) consumed 10531.39 TWh of coal."
"In 1993, Asia Pacific (EI) consumed 11087.26 TWh of coal."
"In 1994, Asia Pacific (EI) consumed 11640.72 TWh of coal."
"In 1995, Asia Pacific (EI) consumed 11914.05 TWh of coal."
"In 1996, Asia Pacific (EI) consumed 12435.80 TWh of coal."
"In 1997, Asia Pacific (EI) consumed 12493.18 TWh of coal."
"In 1998, Asia Pacific (EI) consumed 12483.23 TWh of coal."
"In 1999, Asia Pacific (EI) consumed 12863.83 TWh of coal."
"In 2000, Asia Pacific (EI) consumed 13352.60 TWh of coal."
"In 2001, Asia Pacific (EI) consumed 13963.22 TWh of coal."
"In 2002, Asia Pacific (EI) consumed 15034.04 TWh of coal."
"In 2003, Asia Pacific (EI) consumed 17182.91 TWh of coal."
"In 2004, Asia Pacific (EI) consumed 19323.76 TWh of coal."
"In 2005, Asia Pacific (EI) consumed 21965.54 TWh of coal."
"In 2006, Asia Pacific (EI) consumed 23637.75 TWh of coal."
"In 2007, Asia Pacific (EI) consumed 25611.32 TWh of coal."
"In 2008, Asia Pacific (EI) consumed 26328.44 TWh of coal."
"In 2009, Asia Pacific (EI) consumed 27218.47 TWh of coal."
"In 2010, Asia Pacific (EI) consumed 28415.46 TWh of coal."
"In 2011, Asia Pacific (EI) consumed 30437.15 TWh of coal."
"In 2012, Asia Pacific (EI) consumed 31035.36 TWh of coal."
"In 2013, Asia Pacific (EI) consumed 31706.03 TWh of coal."
"In 2014, Asia Pacific (EI) consumed 32150.76 TWh of coal."
"In 2015, Asia Pacific (EI) consumed 31945.38 TWh of coal."
"In 2016, Asia Pacific (EI) consumed 31447.64 TWh of coal."
"In 2017, Asia Pacific (EI) consumed 32131.63 TWh of coal."
"In 2018, Asia Pacific (EI) consumed 33068.71 TWh of coal."
"In 2019, Asia Pacific (EI) consumed 33872.10 TWh of coal."
"In 2020, Asia Pacific (EI) consumed 33862.70 TWh of coal."
"In 2021, Asia Pacific (EI) consumed 35487.16 TWh of coal."
"In 2022, Asia Pacific (EI) consumed 36054.81 TWh of coal."
"In 2023, Asia Pacific (EI) consumed 37693.12 TWh of coal."
"In 1965, Australia consumed 202.03 TWh of coal."
"In 1966, Australia consumed 209.39 TWh of coal."
"In 1967, Australia consumed 215.25 TWh of coal."
"In 1968, Australia consumed 221.69 TWh of coal."
"In 1969, Australia consumed 229.28 TWh of coal."
"In 1970, Australia consumed 231.69 TWh of coal."
"In 1971, Australia consumed 232.57 TWh of coal."
"In 1972, Australia consumed 242.93 TWh of coal."
"In 1973, Australia consumed 252.99 TWh of coal."
"In 1974, Australia consumed 264.07 TWh of coal."
"In 1975, Australia consumed 272.54 TWh of coal."
"In 1976, Australia consumed 281.79 TWh of coal."
"In 1977, Australia consumed 294.18 TWh of coal."
"In 1978, Australia consumed 301.86 TWh of coal."
"In 1979, Australia consumed 315.54 TWh of coal."
"In 1980, Australia consumed 324.76 TWh of coal."
"In 1981, Australia consumed 333.14 TWh of coal."
"In 1982, Australia consumed 336.68 TWh of coal."
"In 1983, Australia consumed 336.56 TWh of coal."
"In 1984, Australia consumed 355.90 TWh of coal."
"In 1985, Australia consumed 368.14 TWh of coal."
"In 1986, Australia consumed 377.49 TWh of coal."
"In 1987, Australia consumed 393.36 TWh of coal."
"In 1988, Australia consumed 413.76 TWh of coal."
"In 1989, Australia consumed 433.96 TWh of coal."
"In 1990, Australia consumed 444.35 TWh of coal."
"In 1991, Australia consumed 453.26 TWh of coal."
"In 1992, Australia consumed 455.96 TWh of coal."
"In 1993, Australia consumed 458.89 TWh of coal."
"In 1994, Australia consumed 468.26 TWh of coal."
"In 1995, Australia consumed 484.17 TWh of coal."
"In 1996, Australia consumed 503.96 TWh of coal."
"In 1997, Australia consumed 529.46 TWh of coal."
"In 1998, Australia consumed 553.08 TWh of coal."
"In 1999, Australia consumed 587.44 TWh of coal."
"In 2000, Australia consumed 591.66 TWh of coal."
"In 2001, Australia consumed 585.69 TWh of coal."
"In 2002, Australia consumed 598.87 TWh of coal."
"In 2003, Australia consumed 616.02 TWh of coal."
"In 2004, Australia consumed 641.92 TWh of coal."
"In 2005, Australia consumed 638.22 TWh of coal."
"In 2006, Australia consumed 655.50 TWh of coal."
"In 2007, Australia consumed 649.80 TWh of coal."
"In 2008, Australia consumed 677.29 TWh of coal."
"In 2009, Australia consumed 654.86 TWh of coal."
"In 2010, Australia consumed 607.39 TWh of coal."
"In 2011, Australia consumed 592.06 TWh of coal."
"In 2012, Australia consumed 554.47 TWh of coal."
"In 2013, Australia consumed 526.24 TWh of coal."
"In 2014, Australia consumed 521.89 TWh of coal."
"In 2015, Australia consumed 540.41 TWh of coal."
"In 2016, Australia consumed 540.06 TWh of coal."
"In 2017, Australia consumed 521.53 TWh of coal."
"In 2018, Australia consumed 508.88 TWh of coal."
"In 2019, Australia consumed 486.39 TWh of coal."
"In 2020, Australia consumed 468.06 TWh of coal."
"In 2021, Australia consumed 452.45 TWh of coal."
"In 2022, Australia consumed 429.01 TWh of coal."
"In 2023, Australia consumed 419.01 TWh of coal."
"In 1965, Austria consumed 59.11 TWh of coal."
"In 1966, Austria consumed 56.47 TWh of coal."
"In 1967, Austria consumed 53.45 TWh of coal."
"In 1968, Austria consumed 52.77 TWh of coal."
"In 1969, Austria consumed 51.94 TWh of coal."
"In 1970, Austria consumed 55.85 TWh of coal."
"In 1971, Austria consumed 51.23 TWh of coal."
"In 1972, Austria consumed 46.45 TWh of coal."
"In 1973, Austria consumed 46.17 TWh of coal."
"In 1974, Austria consumed 48.72 TWh of coal."
"In 1975, Austria consumed 42.34 TWh of coal."
"In 1976, Austria consumed 45.06 TWh of coal."
"In 1977, Austria consumed 37.80 TWh of coal."
"In 1978, Austria consumed 38.40 TWh of coal."
"In 1979, Austria consumed 41.69 TWh of coal."
"In 1980, Austria consumed 42.83 TWh of coal."
"In 1981, Austria consumed 43.85 TWh of coal."
"In 1982, Austria consumed 41.71 TWh of coal."
"In 1983, Austria consumed 44.66 TWh of coal."
"In 1984, Austria consumed 50.89 TWh of coal."
"In 1985, Austria consumed 50.81 TWh of coal."
"In 1986, Austria consumed 45.30 TWh of coal."
"In 1987, Austria consumed 44.94 TWh of coal."
"In 1988, Austria consumed 43.03 TWh of coal."
"In 1989, Austria consumed 43.23 TWh of coal."
"In 1990, Austria consumed 47.64 TWh of coal."
"In 1991, Austria consumed 49.97 TWh of coal."
"In 1992, Austria consumed 38.88 TWh of coal."
"In 1993, Austria consumed 34.96 TWh of coal."
"In 1994, Austria consumed 35.45 TWh of coal."
"In 1995, Austria consumed 40.34 TWh of coal."
"In 1996, Austria consumed 40.51 TWh of coal."
"In 1997, Austria consumed 42.97 TWh of coal."
"In 1998, Austria consumed 37.83 TWh of coal."
"In 1999, Austria consumed 37.68 TWh of coal."
"In 2000, Austria consumed 42.47 TWh of coal."
"In 2001, Austria consumed 43.88 TWh of coal."
"In 2002, Austria consumed 44.58 TWh of coal."
"In 2003, Austria consumed 47.55 TWh of coal."
"In 2004, Austria consumed 46.58 TWh of coal."
"In 2005, Austria consumed 46.73 TWh of coal."
"In 2006, Austria consumed 46.67 TWh of coal."
"In 2007, Austria consumed 45.04 TWh of coal."
"In 2008, Austria consumed 44.52 TWh of coal."
"In 2009, Austria consumed 33.46 TWh of coal."
"In 2010, Austria consumed 39.34 TWh of coal."
"In 2011, Austria consumed 40.41 TWh of coal."
"In 2012, Austria consumed 37.62 TWh of coal."
"In 2013, Austria consumed 38.13 TWh of coal."
"In 2014, Austria consumed 35.02 TWh of coal."
"In 2015, Austria consumed 38.00 TWh of coal."
"In 2016, Austria consumed 35.45 TWh of coal."
"In 2017, Austria consumed 36.56 TWh of coal."
"In 2018, Austria consumed 32.28 TWh of coal."
"In 2019, Austria consumed 33.94 TWh of coal."
"In 2020, Austria consumed 29.03 TWh of coal."
"In 2021, Austria consumed 30.16 TWh of coal."
"In 2022, Austria consumed 28.64 TWh of coal."
"In 2023, Austria consumed 26.74 TWh of coal."
"In 1985, Azerbaijan consumed 1.07 TWh of coal."
"In 1986, Azerbaijan consumed 1.07 TWh of coal."
"In 1987, Azerbaijan consumed 1.07 TWh of coal."
"In 1988, Azerbaijan consumed 1.07 TWh of coal."
"In 1989, Azerbaijan consumed 1.07 TWh of coal."
"In 1990, Azerbaijan consumed 1.04 TWh of coal."
"In 1991, Azerbaijan consumed 0.78 TWh of coal."
"In 1992, Azerbaijan consumed 0.14 TWh of coal."
"In 1993, Azerbaijan consumed 0.03 TWh of coal."
"In 1994, Azerbaijan consumed 0.05 TWh of coal."
"In 1995, Azerbaijan consumed 0.03 TWh of coal."
"In 1996, Azerbaijan consumed 0.03 TWh of coal."
"In 1997, Azerbaijan consumed 0.03 TWh of coal."
"In 1998, Azerbaijan consumed 0.00 TWh of coal."
"In 1999, Azerbaijan consumed 0.00 TWh of coal."
"In 2000, Azerbaijan consumed 0.00 TWh of coal."
"In 2001, Azerbaijan consumed 0.03 TWh of coal."
"In 2002, Azerbaijan consumed 0.02 TWh of coal."
"In 2003, Azerbaijan consumed 0.03 TWh of coal."
"In 2004, Azerbaijan consumed 0.01 TWh of coal."
"In 2005, Azerbaijan consumed 0.04 TWh of coal."
"In 2006, Azerbaijan consumed 0.04 TWh of coal."
"In 2007, Azerbaijan consumed 0.06 TWh of coal."
"In 2008, Azerbaijan consumed 0.05 TWh of coal."
"In 2009, Azerbaijan consumed 0.05 TWh of coal."
"In 2010, Azerbaijan consumed 0.05 TWh of coal."
"In 2011, Azerbaijan consumed 0.04 TWh of coal."
"In 2012, Azerbaijan consumed 0.04 TWh of coal."
"In 2013, Azerbaijan consumed 0.04 TWh of coal."
"In 2014, Azerbaijan consumed 0.02 TWh of coal."
"In 2015, Azerbaijan consumed 0.03 TWh of coal."
"In 2016, Azerbaijan consumed 0.01 TWh of coal."
"In 2017, Azerbaijan consumed 0.01 TWh of coal."
"In 2018, Azerbaijan consumed 0.01 TWh of coal."
"In 2019, Azerbaijan consumed 0.01 TWh of coal."
"In 2020, Azerbaijan consumed 0.00 TWh of coal."
"In 2021, Azerbaijan consumed 0.00 TWh of coal."
"In 2022, Azerbaijan consumed 0.00 TWh of coal."
"In 2023, Azerbaijan consumed 0.00 TWh of coal."
"In 1971, Bangladesh consumed 1.09 TWh of coal."
"In 1972, Bangladesh consumed 1.09 TWh of coal."
